observation_date,IR3TIB01CAM156N
1956-01-01,2.940000000
1956-02-01,2.940000000
1956-03-01,2.680000000
1956-04-01,3.190000000
1956-05-01,3.530000000
1956-06-01,3.780000000
1956-07-01,3.950000000
1956-08-01,4.120000000
1956-09-01,4.120000000
1956-10-01,4.290000000
1956-11-01,4.290000000
1956-12-01,4.980000000
1957-01-01,4.980000000
1957-02-01,5.320000000
1957-03-01,5.320000000
1957-04-01,5.320000000
1957-05-01,5.320000000
1957-06-01,5.320000000
1957-07-01,5.320000000
1957-08-01,5.320000000
1957-09-01,5.320000000
1957-10-01,5.320000000
1957-11-01,5.150000000
1957-12-01,5.060000000
1958-01-01,4.890000000
1958-02-01,3.780000000
1958-03-01,3.700000000
1958-04-01,3.020000000
1958-05-01,2.940000000
1958-06-01,2.770000000
1958-07-01,2.520000000
1958-08-01,2.520000000
1958-09-01,2.770000000
1958-10-01,2.940000000
1958-11-01,2.770000000
1958-12-01,3.280000000
1959-01-01,3.280000000
1959-02-01,3.870000000
1959-03-01,4.550000000
1959-04-01,4.650000000
1959-05-01,5.230000000
1959-06-01,5.230000000
1959-07-01,5.400000000
1959-08-01,6.480000000
1959-09-01,6.430000000
1959-10-01,6.000000000
1959-11-01,5.580000000
1959-12-01,5.490000000
1960-01-01,5.400000000
1960-02-01,5.230000000
1960-03-01,4.120000000
1960-04-01,4.290000000
1960-05-01,3.780000000
1960-06-01,3.870000000
1960-07-01,3.780000000
1960-08-01,3.020000000
1960-09-01,2.520000000
1960-10-01,3.450000000
1960-11-01,4.210000000
1960-12-01,4.290000000
1961-01-01,3.780000000
1961-02-01,3.530000000
1961-03-01,3.780000000
1961-04-01,3.530000000
1961-05-01,3.780000000
1961-06-01,3.280000000
1961-07-01,3.020000000
1961-08-01,3.280000000
1961-09-01,3.110000000
1961-10-01,3.020000000
1961-11-01,2.850000000
1961-12-01,3.450000000
1962-01-01,3.514000000
1962-02-01,3.382500000
1962-03-01,3.310000000
1962-04-01,3.417500000
1962-05-01,3.546000000
1962-06-01,4.127500000
1962-07-01,5.697500000
1962-08-01,5.698000000
1962-09-01,5.445000000
1962-10-01,4.964000000
1962-11-01,4.380000000
1962-12-01,4.312500000
1963-01-01,4.248000000
1963-02-01,4.162500000
1963-03-01,4.155000000
1963-04-01,3.807500000
1963-05-01,3.582000000
1963-06-01,3.627500000
1963-07-01,3.806000000
1963-08-01,4.167500000
1963-09-01,4.130000000
1963-10-01,4.000000000
1963-11-01,4.115000000
1963-12-01,4.327500000
1964-01-01,4.202000000
1964-02-01,4.060000000
1964-03-01,4.170000000
1964-04-01,4.118000000
1964-05-01,4.050000000
1964-06-01,4.020000000
1964-07-01,4.032000000
1964-08-01,4.222500000
1964-09-01,4.308000000
1964-10-01,4.380000000
1964-11-01,4.360000000
1964-12-01,4.590000000
1965-01-01,4.362500000
1965-02-01,4.370000000
1965-03-01,4.444000000
1965-04-01,4.480000000
1965-05-01,4.685000000
1965-06-01,4.816000000
1965-07-01,4.900000000
1965-08-01,5.170000000
1965-09-01,5.226000000
1965-10-01,5.340000000
1965-11-01,5.650000000
1965-12-01,5.960000000
1966-01-01,6.047500000
1966-02-01,6.020000000
1966-03-01,6.050000000
1966-04-01,6.055000000
1966-05-01,6.137500000
1966-06-01,6.244000000
1966-07-01,6.317500000
1966-08-01,6.344000000
1966-09-01,6.405000000
1966-10-01,6.382500000
1966-11-01,6.470000000
1966-12-01,6.602500000
1967-01-01,6.440000000
1967-02-01,6.037500000
1967-03-01,5.566000000
1967-04-01,5.010000000
1967-05-01,5.046000000
1967-06-01,5.422500000
1967-07-01,5.587500000
1967-08-01,5.630000000
1967-09-01,5.825000000
1967-10-01,6.502500000
1967-11-01,6.524000000
1967-12-01,6.575000000
1968-01-01,6.578000000
1968-02-01,6.800000000
1968-03-01,7.137500000
1968-04-01,7.257500000
1968-05-01,7.350000000
1968-06-01,7.327500000
1968-07-01,7.118000000
1968-08-01,6.722500000
1968-09-01,6.215000000
1968-10-01,6.318000000
1968-11-01,6.447500000
1968-12-01,6.550000000
1969-01-01,6.858000000
1969-02-01,6.885000000
1969-03-01,6.952500000
1969-04-01,7.064000000
1969-05-01,7.132500000
1969-06-01,7.597500000
1969-07-01,8.082000000
1969-08-01,8.355000000
1969-09-01,8.430000000
1969-10-01,8.550000000
1969-11-01,8.602500000
1969-12-01,9.030000000
1970-01-01,9.065000000
1970-02-01,8.575000000
1970-03-01,8.237500000
1970-04-01,7.738000000
1970-05-01,7.855000000
1970-06-01,7.327500000
1970-07-01,7.624000000
1970-08-01,7.627500000
1970-09-01,6.860000000
1970-10-01,6.835000000
1970-11-01,6.120000000
1970-12-01,5.582000000
1971-01-01,5.775000000
1971-02-01,5.472500000
1971-03-01,4.092000000
1971-04-01,3.745000000
1971-05-01,3.902500000
1971-06-01,3.910000000
1971-07-01,4.437500000
1971-08-01,4.545000000
1971-09-01,4.796000000
1971-10-01,5.155000000
1971-11-01,4.605000000
1971-12-01,4.396000000
1972-01-01,4.062500000
1972-02-01,4.497500000
1972-03-01,5.256000000
1972-04-01,5.752500000
1972-05-01,6.018000000
1972-06-01,5.515000000
1972-07-01,4.980000000
1972-08-01,4.836000000
1972-09-01,5.025000000
1972-10-01,5.025000000
1972-11-01,5.124000000
1972-12-01,5.085000000
1973-01-01,5.116000000
1973-02-01,4.937500000
1973-03-01,5.102500000
1973-04-01,5.582500000
1973-05-01,6.350000000
1973-06-01,7.085000000
1973-07-01,7.705000000
1973-08-01,8.310000000
1973-09-01,8.802500000
1973-10-01,9.350000000
1973-11-01,9.350000000
1973-12-01,9.925000000
1974-01-01,9.468000000
1974-02-01,8.745000000
1974-03-01,8.907500000
1974-04-01,10.417500000
1974-05-01,11.782000000
1974-06-01,11.375000000
1974-07-01,11.648000000
1974-08-01,11.805000000
1974-09-01,11.540000000
1974-10-01,10.752000000
1974-11-01,9.795000000
1974-12-01,10.417500000
1975-01-01,8.476000000
1975-02-01,6.895000000
1975-03-01,6.770000000
1975-04-01,7.094000000
1975-05-01,7.510000000
1975-06-01,7.282500000
1975-07-01,7.484000000
1975-08-01,8.355000000
1975-09-01,8.940000000
1975-10-01,8.888000000
1975-11-01,9.172500000
1975-12-01,9.418000000
1976-01-01,9.040000000
1976-02-01,8.907500000
1976-03-01,9.806000000
1976-04-01,9.730000000
1976-05-01,9.435000000
1976-06-01,9.390000000
1976-07-01,9.340000000
1976-08-01,9.340000000
1976-09-01,9.470000000
1976-10-01,9.270000000
1976-11-01,9.040000000
1976-12-01,8.550000000
1977-01-01,8.127500000
1977-02-01,7.835000000
1977-03-01,7.770000000
1977-04-01,7.640000000
1977-05-01,7.380000000
1977-06-01,7.042000000
1977-07-01,7.185000000
1977-08-01,7.510000000
1977-09-01,7.315000000
1977-10-01,7.380000000
1977-11-01,7.458000000
1977-12-01,7.272500000
1978-01-01,7.167500000
1978-02-01,7.267500000
1978-03-01,7.570000000
1978-04-01,8.357500000
1978-05-01,8.172000000
1978-06-01,8.357500000
1978-07-01,8.447500000
1978-08-01,8.942000000
1978-09-01,9.270000000
1978-10-01,9.780000000
1978-11-01,10.626000000
1978-12-01,10.607500000
1979-01-01,10.970000000
1979-02-01,11.005000000
1979-03-01,11.110000000
1979-04-01,11.240000000
1979-05-01,11.286000000
1979-06-01,11.190000000
1979-07-01,11.262500000
1979-08-01,11.790000000
1979-09-01,12.000000000
1979-10-01,13.470000000
1979-11-01,14.162500000
1979-12-01,14.050000000
1980-01-01,13.910000000
1980-02-01,14.037500000
1980-03-01,14.725000000
1980-04-01,16.130000000
1980-05-01,12.975000000
1980-06-01,11.637500000
1980-07-01,11.030000000
1980-08-01,10.562500000
1980-09-01,10.762500000
1980-10-01,11.670000000
1980-11-01,13.087500000
1980-12-01,17.020000000
1981-01-01,17.012500000
1981-02-01,17.475000000
1981-03-01,16.962500000
1981-04-01,17.220000000
1981-05-01,18.975000000
1981-06-01,19.250000000
1981-07-01,19.660000000
1981-08-01,22.012500000
1981-09-01,20.540000000
1981-10-01,18.787500000
1981-11-01,16.612500000
1981-12-01,16.000000000
1982-01-01,15.025000000
1982-02-01,15.325000000
1982-03-01,15.740000000
1982-04-01,15.737500000
1982-05-01,15.537500000
1982-06-01,16.880000000
1982-07-01,16.262500000
1982-08-01,14.762500000
1982-09-01,13.610000000
1982-10-01,12.012500000
1982-11-01,11.050000000
1982-12-01,10.560000000
1983-01-01,9.887500000
1983-02-01,9.750000000
1983-03-01,9.370000000
1983-04-01,9.362500000
1983-05-01,9.225000000
1983-06-01,9.350000000
1983-07-01,9.350000000
1983-08-01,9.440000000
1983-09-01,9.325000000
1983-10-01,9.300000000
1983-11-01,9.380000000
1983-12-01,9.850000000
1984-01-01,9.837500000
1984-02-01,9.830000000
1984-03-01,10.350000000
1984-04-01,10.700000000
1984-05-01,11.430000000
1984-06-01,11.775000000
1984-07-01,12.912500000
1984-08-01,12.380000000
1984-09-01,12.175000000
1984-10-01,11.950000000
1984-11-01,10.987500000
1984-12-01,10.337500000
1985-01-01,9.670000000
1985-02-01,10.575000000
1985-03-01,11.300000000
1985-04-01,10.162500000
1985-05-01,9.750000000
1985-06-01,9.487500000
1985-07-01,9.260000000
1985-08-01,9.112500000
1985-09-01,9.062500000
1985-10-01,8.710000000
1985-11-01,8.825000000
1985-12-01,9.237500000
1986-01-01,10.160000000
1986-02-01,11.725000000
1986-03-01,11.025000000
1986-04-01,9.550000000
1986-05-01,8.575000000
1986-06-01,8.700000000
1986-07-01,8.470000000
1986-08-01,8.512500000
1986-09-01,8.350000000
1986-10-01,8.440000000
1986-11-01,8.387500000
1986-12-01,8.360000000
1987-01-01,7.925000000
1987-02-01,7.437500000
1987-03-01,7.175000000
1987-04-01,7.620000000
1987-05-01,8.250000000
1987-06-01,8.462500000
1987-07-01,8.640000000
1987-08-01,9.137500000
1987-09-01,9.360000000
1987-10-01,9.162500000
1987-11-01,8.775000000
1987-12-01,8.970000000
1988-01-01,8.712500000
1988-02-01,8.550000000
1988-03-01,8.590000000
1988-04-01,8.862500000
1988-05-01,9.037500000
1988-06-01,9.370000000
1988-07-01,9.412500000
